cmc_id,symbol,name,picked_chainid,picked_address,reachable,n_platforms,platforms
1500,WINGS,Wings,1,0x667088b212ce3d06a1b553a7221E1fD19000d9aF,True,1,Ethereum:0x667088b212ce3d06a1b553a7221E1fD19000d9aF
1503,JUP,Jupiter,1,0x4B1E80cAC91e2216EEb63e29B957eB91Ae9C2Be8,True,2,Ethereum:0x4B1E80cAC91e2216EEb63e29B957eB91Ae9C2Be8 | BNB Smart Chain (BEP20):0x0231f91e02debd20345ae8ab7d71a41f8e140ce7
1518,MKR,Maker,1,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,True,3,Ethereum:0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2 | BNB Smart Chain (BEP20):0x5f0da599bb2cccfcf6fdfd7d81743b6020864350 | Avalanche C-Chain:0x88128fd4b259552A9A1D457f435a6527AAb72d42
1552,MLN,Enzyme,1,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,True,2,Ethereum:0xec67005c4e498ec7f55e092bd1d35cbc47c91892 | Polygon:0xa9f37d84c856fda3812ad0519dad44fa0a3fe207
1556,TIME,Chrono.tech,1,0x485d17A6f1B8780392d53D64751824253011A260,True,3,Ethereum:0x485d17A6f1B8780392d53D64751824253011A260 | BNB Smart Chain (BEP20):0x3b198e26E473b8faB2085b37978e36c9DE5D7f68 | Polygon:0xb970Bc1BD4fCD639c37aa8eFD6713eaDc577252f
1573,CASINO,Casino,,,False,0,
1619,SKY,Skycoin,,,False,0,
1637,RLC,iExec RLC,1,0x607f4c5bb672230e8672085532f7e901544a7375,True,2,Ethereum:0x607f4c5bb672230e8672085532f7e901544a7375 | Arbitrum:0xe649e6a1F2afc63ca268C2363691ceCAF75CF47C
1660,TKN,Monolith,1,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,True,1,Ethereum:0xaaaf91d9b90df800df4f55c205fd6989c977e73a
1680,ANT,Aragon,1,0xa117000000f279d81a1d3cc75430faa017fa5a2e,True,1,Ethereum:0xa117000000f279d81a1d3cc75430faa017fa5a2e
1684,QTUM,Qtum,,,False,0,
1722,MORE,More Coin,1,0x305DE070488C8469dFAC957226c9c900c4BFbA22,True,1,Ethereum:0x305DE070488C8469dFAC957226c9c900c4BFbA22
1732,NMR,Numeraire,1,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,True,1,Ethereum:0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671
1750,GXC,GXChain,,,False,0,
1757,FUN,FUNToken,1,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,True,1,Ethereum:0x419d0d8bdd9af5e606ae2232ed285aff190e711b
1758,PAY,TenX,1,0xb97048628db6b661d4c2aa833e95dbe1a905b280,True,1,Ethereum:0xb97048628db6b661d4c2aa833e95dbe1a905b280
1768,ADX,AdEx,1,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,True,2,Ethereum:0xade00c28244d5ce17d72e40330b1c318cd12b7c3 | BNB Smart Chain (BEP20):0x6bff4fb161347ad7de4a625ae5aa3a1ca7077819
1785,GAS,Gas,,,False,1,Neo:0xdE41591ED1f8ED1484aC2CD8ca0876428de60EfF
1808,OMG,OMG Network,1,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,True,1,Ethereum:0xd26114cd6ee289accf82350c8d8487fedb8a0c07
1834,PLR,Pillar,1,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,True,1,Ethereum:0xe3818504c1b32bf1557b16c238b2e01fd3149c17
1847,MSP,Mothership,1,0x68aa3f232da9bdc2343465545794ef3eea5209bd,True,1,Ethereum:0x68aa3f232da9bdc2343465545794ef3eea5209bd
1867,CTR,Centra,,,False,0,
1882,CAT,BlockCAT,1,0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,True,1,Ethereum:0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8
1904,VEN,Vechain [Token],,,False,0,
1982,KNCL,Kyber Network Crystal Legacy,1,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,True,1,Ethereum:0xdd974d5c2e2928dea5f71b9825b8b646686bd200
1984,SUB,Substratum,1,0x8D75959f1E61EC2571aa72798237101F084DE63a,True,1,Ethereum:0x8D75959f1E61EC2571aa72798237101F084DE63a
2015,ATM,ATMChain,1,0x9B11EFcAAA1890f6eE52C6bB7CF8153aC5d74139,True,1,Ethereum:0x9B11EFcAAA1890f6eE52C6bB7CF8153aC5d74139
2057,EDO,Eidoo,1,0xced4e93198734ddaff8492d525bd258d49eb388e,True,1,Ethereum:0xced4e93198734ddaff8492d525bd258d49eb388e
2058,AST,AirSwap,1,0x27054b13b1b798b345b591a4d22e6562d47ea75a,True,2,Ethereum:0x27054b13b1b798b345b591a4d22e6562d47ea75a | Gnosis Chain:0x743a991365ba94BFC90Ad0002CAD433c7a33cb4a
