cmc_id,symbol,name,chainid,address,verified,contract,is_proxy,ch1,ch1_event,ch1_logs,ch1_firstblock,ch3,ch3_event,ch3_logs,ch3_firstblock,ch2
6783,AXS,Axie Infinity,1,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,True,AXSToken,0,-,,,,-,,,,Transfer(universal)
6833,LIT,Litentry,1,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,True,LITToken,0,-,,,,-,,,,Transfer(universal)
6843,RAD,Radworks,1,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,True,RadicleToken,0,-,,,,ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)",1000,11882441,Transfer(universal)
6929,HEGIC,Hegic,1,0x584bC13c7D411c00c01A62e8019472dE68768430,True,Hegic,0,-,,,,-,,,,Transfer(universal)
6941,HBTC,Huobi BTC,1,0x0316EB71485b0Ab14103307bf65a021042c6d380,True,HBTCToken,0,-,,,,-,,,,Transfer(universal)
6945,AMP,Amp,1,0xff20817765cb7f73d4bde2e66e067e58d11095c2,True,Amp,0,-,,,,-,,,,Transfer(universal)
7033,ESD,Empty Set Dollar,1,0x36f3fd68e7325a35eb768f1aedaae9ea0689d723,True,Dollar,0,-,,,,-,,,,Transfer(universal)
7064,BAKE,BakeryToken,56,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,True,BakeryToken,0,-,,,,ERC20Votes-ABIonly [getLogs needs PAID plan on this chain],"DelegateVotesChanged(address,uint256,uint256)",,,Transfer(universal)
7208,POLS,Polkastarter,1,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,True,PolkastarterToken,0,-,,,,-,,,,Transfer(universal)
7224,DODO,DODO,1,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,True,DODOToken,0,-,,,,-,,,,Transfer(universal)
7228,DDX,DerivaDAO,1,0x3a880652f47bfaa771908c07dd8673a787daed3a,True,DDX,0,-,,,,ERC20Votes,"DelegateVotesChanged(address,uint96,uint96)",1000,11383460,Transfer(universal)
7232,ALPHA,Stella,1,0xa1faa113cbe53436df28ff0aee54275c13b40975,True,AlphaToken,0,-,,,,-,,,,Transfer(universal)
7242,CORE,cVault.finance,1,0x62359ed7505efc61ff1d56fef82158ccaffa23d7,True,CORE,0,-,,,,"ERC20Votes-negligible(<=2deleg,DVC-never-fired)","DelegateChanged(address,address,address)",,,Transfer(universal)
7288,XVS,Venus,1,0xd3CC9d8f3689B83c91b7B59cAB4946B063EB894A,True,XVS,0,-,,,,-,,,,Transfer(universal)
7326,DEXE,DeXe,1,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,True,Dexe,0,-,,,,-,,,,Transfer(universal)
7455,AUDIO,Audius,1,0x18aaa7115705e8be94bffebde57af9bfc265b998,True,AudiusAdminUpgradeabilityProxy->impl:AudiusToken,1,-,,,,-,,,,Transfer(universal)
7501,WOO,WOO,1,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,True,WootradeNetwork,0,-,,,,-,,,,Transfer(universal)
7617,SFI,saffron.finance,1,0xb753428af26e81097e7fd17f40c88aaa3e04902c,True,SFI,0,-,,,,-,,,,Transfer(universal)
7654,RFOX,RFOX,1,0xa1d6df714f91debf4e0802a542e13067f31b8262,True,Token,0,-,,,,-,,,,Transfer(universal)
7672,UNFI,Unifi Protocol DAO,1,0x441761326490cacf7af299725b6292597ee822c2,True,UNFI,0,-,,,,-,,,,Transfer(universal)
7737,API3,API3,1,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,True,Api3Token,0,-,,,,-,,,,Transfer(universal)
7817,BFC,Bifrost,1,0x0c7D5ae016f806603CB1782bEa29AC69471CAb9c,True,ERC20,0,-,,,,-,,,,Transfer(universal)
7857,MIR,Mirror Protocol,1,0x09a3EcAFa817268f77BE1283176B946C4ff2E608,True,WrappedMIR,0,-,,,,-,,,,Transfer(universal)
7961,vBNB,Venus BNB,56,0xA07c5b74C9B40447a954e1466938b865b6BBea36,True,VBNB,0,-,,,,-,,,,Transfer(universal)
7962,vBTC,Venus BTC,56,0x882C173bC7Ff3b7786CA16dfeD3DFFfb9Ee7847B,True,VBep20Delegator->impl:VBep20Delegate,1,-,,,,-,,,,Transfer(universal)
7963,vETH,Venus ETH,56,0xf508fCD89b8bd15579dc79A6827cB4686A3592c8,True,VBep20Delegator->impl:VBep20Delegate,1,-,,,,-,,,,Transfer(universal)
8075,RLY,Rally,1,0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b,True,RallyToken,0,-,,,,-,,,,Transfer(universal)
