cohort,project,month,pq_usd,tvl_usd,turnover
LENDING,strike,2024-03,2279547.416525,23763564.0,0.09592615890970731
LENDING,strike,2024-04,748496.633478797,9459010.0,0.0791305467991679
LENDING,strike,2024-05,3407965.2873553676,12796426.0,0.2663216500728694
LENDING,strike,2024-06,2898028.2541887774,10285326.0,0.28176338350274727
LENDING,strike,2024-07,3425390.0124714337,11795183.0,0.29040583876243664
LENDING,strike,2024-08,3960259.7808724153,8853878.0,0.44729098151933144
LENDING,strike,2024-09,242752.8246299302,8841909.0,0.027454797898274028
LENDING,strike,2024-10,780525.0985996991,7247168.0,0.10770070441304784
LENDING,strike,2024-11,7813984.669864737,14777287.0,0.5287834410920447
LENDING,strike,2024-12,1140291.1679102199,11541142.0,0.0988022821233999
LENDING,strike,2025-01,3832679.032200802,17041790.0,0.2248988534772933
LENDING,strike,2025-02,679156.6482325731,11595309.0,0.05857167309923117
LENDING,strike,2025-03,3083377.058209433,11433682.0,0.2696749007195961
LENDING,strike,2025-04,3727459.863461552,13050403.0,0.2856202880065506
LENDING,strike,2025-05,3069718.9061891492,9336846.0,0.3287747175212217
LENDING,strike,2025-06,3413664.014611682,9452613.0,0.3611344307242539
LENDING,strike,2025-07,2507769.421908599,4852459.0,0.5168038353149607
LENDING,strike,2025-08,379164.61873241776,29485.0,12.85957669094176
LENDING,strike,2025-09,10442.144771700001,38214.0,0.2732544295729314
LENDING,strike,2025-10,1997.14263066068,19495.0,0.10244383845399743
LENDING,strike,2025-11,21991.863685718752,4668.0,4.711196162321927
LENDING,strike,2025-12,1.273127568652898,3100.0,0.00041068631246867675
LENDING,strike,2026-04,2.000416e-06,5586.0,3.5811242391693516e-10
LENDING,uwulend,2022-09,448007529.0359542,52374995.0,8.553843853082071
LENDING,uwulend,2022-10,172125833.6529795,55089144.0,3.124496428061752
LENDING,uwulend,2022-11,32566715.005794123,49655715.0,0.6558502884470423
LENDING,uwulend,2022-12,98813752.38404752,45433202.0,2.1749238009693337
LENDING,uwulend,2023-01,65657883.435213864,70741214.0,0.9281418811276531
LENDING,uwulend,2023-02,24640536.716593023,66651250.0,0.36969354238057084
LENDING,uwulend,2023-03,15519725.393900827,62536344.0,0.2481712937024401
LENDING,uwulend,2023-04,3020365.7330736513,60173762.0,0.05019406519861017
LENDING,uwulend,2023-05,3186006.787794284,58272504.0,0.054674272926289284
LENDING,uwulend,2023-06,21664032.267763592,49006490.0,0.4420645565059565
LENDING,uwulend,2023-07,28096605.73969154,87104345.0,0.3225626200356772
LENDING,uwulend,2023-08,10198038.413971312,53440655.0,0.1908292182042176
LENDING,uwulend,2023-09,10470749.251690341,35073285.0,0.2985391659689231
LENDING,uwulend,2023-10,15442384.097901043,32616575.0,0.4734520438734307
LENDING,uwulend,2023-11,2490530.2060340396,15768465.0,0.15794373174776616
LENDING,uwulend,2023-12,31040845.561618533,13743841.0,2.258527696996679
LENDING,uwulend,2024-01,25829763.12033549,20167346.0,1.2807715561747932
LENDING,uwulend,2024-02,25782760.495381627,20401789.0,1.26374998267954
LENDING,uwulend,2024-03,24642761.423435193,29597460.0,0.8325971696029049
LENDING,uwulend,2024-04,26416975.778680947,28115343.0,0.9395928685159896
LENDING,uwulend,2024-05,3822232.623926713,27148540.0,0.1407896197705922
LENDING,uwulend,2024-06,9229295080.615248,228943.0,40312.63275407087
LENDING,uwulend,2024-07,15020299.3887673,3223017.0,4.660322731393381
LENDING,uwulend,2024-08,8389012.219605332,3115148.0,2.6929738874703006
LENDING,uwulend,2024-09,559061.8235518181,2133404.0,0.26205154933234315
LENDING,uwulend,2024-10,3311828.7139424556,2408776.0,1.3749010758752394
LENDING,uwulend,2024-11,626497.506758557,954130.0,0.65661650588343
LENDING,uwulend,2024-12,2388500.2962000323,714983.0,3.340639282612359
LENDING,uwulend,2025-01,181198.81937455278,183628.0,0.9867711861728755
LENDING,uwulend,2025-02,468106.38650285354,127578.0,3.6691779656590757
LENDING,uwulend,2025-03,5142.66501635749,201602.0,0.025508998007745406
LENDING,uwulend,2025-04,38284.915939164755,429674.0,0.08910224016152887
LENDING,uwulend,2025-05,34382.102603,752619.0,0.04568327746575625
LENDING,uwulend,2025-06,27220.151452774986,316198.0,0.08608577996310851
LENDING,uwulend,2025-07,116542.08446450511,335895.0,0.3469598668170265
LENDING,uwulend,2025-08,5.222249457057001,344557.0,1.5156416665622817e-05
LENDING,uwulend,2025-09,2758.9152935742213,314316.0,0.008777521009347986
LENDING,uwulend,2025-10,5004.749166542881,357426.0,0.014002196724756678
LENDING,uwulend,2026-01,2001.3018332823667,288530.0,0.006936200163873312
LENDING,uwulend,2026-02,496.21349999999995,282560.0,0.0017561349801812002
LENDING,uwulend,2026-05,21.124465991035,215734.0,9.791903914559132e-05
LENDING,zerolend,2023-07,19739.63654934714,12164.0,1.6227915611104191
LENDING,zerolend,2023-08,1049047.6854996367,148760.0,7.0519473346305235
LENDING,zerolend,2023-09,10100822.801113851,521024.0,19.386482774524495
