cmc_id,symbol,dl_slug,dl_category,tvl_present,tvl_start,tvl_end,tvl_last_usd,tvl_status,fees_present,fees_start,fees_end,fees_30d,fees_status,rev_present,rev_start,rev_end,rev_30d,dex_present,dex_start,dex_end,dex_30d,dex_status,deriv_present,deriv_status,opt_present,opt_status,opt_start,opt_end,bridge_vol,apy_present,apy_npools,apy_tvl_usd,apy_wmean_pct
33223,LAB,lab-terminal,Trading App,N,,,,200,Y,2025-06-29,2026-06-24,155273.0,200,N,,,,N,,,,400,,,,,,,,N,0,,
7725,TRU,truefi,Uncollateralized Lending,Y,2020-11-22,2026-06-25,21640.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
24796,ADF,artdefinance,Yield,Y,2024-01-08,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
4134,AKRO,akropolis,Yield,Y,2020-08-12,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
18876,APE,apecoin,Yield,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
11079,BRISE,bitgert,Yield,Y,2022-07-17,2026-06-25,,200,Y,2024-12-31,2026-06-23,1.0,200,N,,,,N,,,,400,,,,,,,,N,0,,
8891,BTCST,btcst,Yield,Y,2021-12-17,2026-06-25,744545.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
7242,CORE,cvault-finance,Yield,Y,2021-03-19,2026-06-25,4147073.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
9903,CVX,convex-finance,Yield,Y,2021-05-16,2026-06-25,468826334.0,200,Y,2021-05-17,2026-06-24,896654.0,200,Y,2021-05-17,2026-06-24,889621.0,N,,,,400,,,,,,,,Y,193,428536235.0,6.31
8615,EPIC,ethernity-chain,Yield,Y,2021-06-23,2026-06-25,28881.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
5190,FLEX,coinflex,Yield,Y,2022-05-02,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
5015,HEX,hex,Yield,Y,2019-12-15,2026-06-22,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
2873,MET,metronome-v1,Yield,Y,2021-03-21,2026-06-25,185653.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
2982,MVL,mvl-staking,Yield,Y,2023-10-01,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
5354,PEAK,peakdefi,Yield,Y,2021-03-21,2026-06-25,110615.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
7654,RFOX,rfox,Yield,Y,2022-04-25,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
7617,SFI,saffron-finance,Yield,Y,2021-11-20,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
