cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags,asset_class_original,confirmation_basis,sector,market_cap,month_end
36410,MYX,MYX Finance,True,token,"governance/defi tags: ['defi', 'derivatives', 'perp-dex-coins', 'perpetuals']",Derivatives,False,,,binance-alpha;binance-alpha-airdrops;binance-ecosystem;binance-listing;binance-wallet-ido;bnb-chain-ecosystem;defi;derivatives;perp-dex-coins;perpetuals,token,,Derivatives;Perpetuals,82565691.32862708,2026-05-31
3748,HXRO,Hxro,True,token,DeFiLlama governance/DeFi category: ['Derivatives'],Derivatives,True,,,alameda-research-portfolio;cms-holdings-portfolio;coinfund-portfolio;ledgerprime-portfolio;solana-ecosystem;three-arrows-capital-portfolio,token,,Derivatives,77021285.23905045,2022-09-30
37986,LIGHT,Light,True,token,DeFiLlama governance/DeFi category: ['Dexs'],Dexs,True,,,memes;solana-ecosystem,token,,Dexs;Meme,76964529.70820744,2026-05-31
11165,ORCA,Orca,True,token,"governance/defi tags: ['amm', 'decentralized-exchange-dex-token', 'defi', 'dex']",Dexs;Launchpad;Lending,False,,,amm;binance-ecosystem;binance-listing;decentralized-exchange-dex-token;defi;dex;solana-ecosystem;three-arrows-capital-portfolio,token,,Dexs;Launchpad;Lending;DEX,74905046.95666534,2026-05-31
10407,BabyDoge,Baby Doge Coin,True,token,"governance/defi tags: ['decentralized-exchange-dex-token', 'defi', 'real-world-assets', 'real-world-assets-protocols']",Bridge;Dexs,False,,,ai-big-data;animal-memes;art;base-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;collectibles-nfts;communications-social-media;content-creation;cross-chain;decentralized-exchange-dex-token;defi;doggone-doggerel;entertainment;ethereum-ecosystem;gaming;generative-ai;launchpad;loyalty;made-in-america;marketing;marketplace;media;memes;payments;philanthropy;real-estate;real-world-assets;real-world-assets-protocols;services;solana-ecosystem;tap-to-earn;toncoin-ecosystem;web3,token,,Bridge;Dexs;AI/Big Data;NFT;Gaming;Meme;Payments;RWA,74354724.44404452,2026-05-31
34143,WHITE,WhiteRock,True,token,DeFiLlama governance/DeFi category: ['Options'],Options,True,,,ethereum-ecosystem;solana-ecosystem,token,,Options,73970134.63461635,2026-05-31
34926,ARC,AI Rig Complex,True,token,DeFiLlama governance/DeFi category: ['Dexs'],DEX Aggregator;Dexs;Services,True,,,ai-agents;ai-big-data;binance-alpha;binance-ecosystem;binance-listing;pump-fun-ecosystem;solana-ecosystem,token,,DEX Aggregator;Dexs;Services;AI Agents;AI/Big Data,73266568.15694527,2026-05-31
24796,ADF,Art de Finance,True,token,DeFiLlama governance/DeFi category: ['Yield'],Yield,True,,,polygon-ecosystem,token,,Yield,72547578.47308408,2024-04-30
8290,SUPER,SuperVerse,True,token,governance/defi tags: ['defi'],Services,False,,,animoca-brands-portfolio;avalanche-ecosystem;base-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;collectibles-nfts;defi;ethereum-ecosystem;exnetwork-capital-portfolio;gaming;injective-ecosystem;launchpad;made-in-america;polkastarter;polygon-ecosystem;soneium-ecosystem;superstarter,token,,Services;NFT;Gaming,71757741.85177654,2026-05-31
7127,VELO,Velo,True,token,DeFiLlama governance/DeFi category: ['Dexs'],Dexs,True,,,binance-alpha;binance-alpha-airdrops;binance-ecosystem;bnb-chain-ecosystem;dwf-labs-portfolio;stellar-ecosystem,token,,Dexs,70897291.70808804,2026-05-31
29587,W,Wormhole,True,token,"governance/defi tags: ['dao', 'defi', 'governance']",Bridge,False,,,arbitrum-ecosystem;arrington-xrp-capital-portfolio;base-ecosystem;binance-ecosystem;binance-listing;cmc-crypto-yearbook-2024-2025;coinbase-ventures-portfolio;collectibles-nfts;cross-chain;dao;defi;ethereum-ecosystem;governance;interoperability;jump-crypto;multicoin-capital-portfolio;optimism-ecosystem;solana-ecosystem;web3,token,,Bridge;NFT;Interoperability,70709162.10809033,2026-05-31
5566,KEEP,Keep Network,True,token,governance/defi tags: ['defi'],Cross Chain Bridge,False,,,a16z-portfolio;boostvc-portfolio;coinbase-ventures-portfolio;defi;ethereum-ecosystem;fabric-ventures-portfolio;multicoin-capital-portfolio;paradigm-portfolio;paradigm-xzy-screener;parafi-capital;polychain-capital-portfolio;privacy;privacy-blockchain;solana-ecosystem,token,,Cross Chain Bridge;Privacy,70246115.17412095,2025-12-31
5631,ORN,Orion,True,token,"governance/defi tags: ['dao-maker', 'defi', 'dex']",DEX Aggregator;Dexs,False,,,algorand-ecosystem;avalanche-ecosystem;dao-maker;defi;dex;exnetwork-capital-portfolio;fantom-ecosystem;injective-ecosystem,token,,DEX Aggregator;Dexs;DEX,68941590.89404447,2024-10-31
