cmc_id,symbol,name,dl_slug,cmcid_categories,symbol_categories,has_addr,token_chain,has_snapshot,stage1_label,stage1_reason
5631,ORN,Orion,dedust,Dexs,DEX Aggregator;Dexs,True,TON,False,LOW,"cmcId-matched DL protocol, non-staking category: Dexs (slug=dedust)"
5690,RENDER,Render,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5741,DMG,DMM: Governance,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5798,RING,Darwinia Network,,,Farm;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5824,SLP,Smooth Love Potion,,,Derivatives,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5829,SWAP,TrustSwap,team-finance,Token Locker,Bridge;Dexs;Interface;Token Locker,True,Multi-Chain,False,LOW,"cmcId-matched DL protocol, non-staking category: Token Locker (slug=team-finance)"
5830,NXM,NXM,,,Insurance,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5841,NEST,NEST Protocol,,,Derivatives;Dexs;Oracle,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5892,ANY,Anyswap,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
5906,NVT,NerveNetwork,nerve-staking,Dexs,Dexs,True,Nuls,False,LOW,"cmcId-matched DL protocol, non-staking category: Dexs (slug=nerve-staking)"
5957,YFII,DFI.Money,yfii,Yield Aggregator,Yield Aggregator,True,Ethereum,False,LOW,"cmcId-matched DL protocol, non-staking category: Yield Aggregator (slug=yfii)"
5994,SHIB,Shiba Inu,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
6138,DIA,DIA,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
6432,OMI,ECOMI,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
6511,STRONG,Strong,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
6669,CVP,PowerPool,,,Indexes,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
