cmc_id,symbol,name,asset_class,chain,class,tx_repository,ch1_staking,ch2_holding,ch3_voting
28853,JLP,Jupiter Perps LP,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
5488,JST,JUST,token,Tron20,NonEVM-indexed,TronScan/TronGrid,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
29210,JUP,Jupiter,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
30986,KMNO,Kamino,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
8296,KSP,KLAYswap Protocol,token,KAIA,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
2663,KST,StarCoin,token,,NO-IDENTITY,,no,no,no
35429,LAYER,Solayer,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
37986,LIGHT,Light,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
810,LQD,LIQUID,token,,NO-IDENTITY,,no,no,no
2693,LRN,Loopring [NEO],token,,NO-IDENTITY,,no,no,no
20314,LUNA,Terra,token,Osmosis,NonEVM-indexed,Mintscan/LCD,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
38770,MEGA,MegaETH,token,MegaETH; Solana,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
38353,MET,Meteora,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
30126,MEW,cat in a dogs world,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
399,MIN,Mineralscoin,token,,NO-IDENTITY,,no,no,no
11171,MNGO,Mango,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
2429,MOBI,Mobius,token,Stellar,NonEVM-indexed,Horizon,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1080,NEU,NeuCoin,token,,NO-IDENTITY,,no,no,no
26680,NTRN,Neutron,token,Osmosis,NonEVM-indexed,Mintscan/LCD,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
314,OC,OrangeCoin,token,,NO-IDENTITY,,no,no,no
6432,OMI,ECOMI,token,,NO-IDENTITY,,no,no,no
11165,ORCA,Orca,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
12220,OSMO,Osmosis,token,Osmosis,NonEVM-indexed,Mintscan/LCD,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
2112,PHB,Phoenix Global,token,Neo,NonEVM-indexed,NeoTube/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1091,PLS,PLAY,token,,NO-IDENTITY,,no,no,no
36507,PUMP,Pump.fun,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
28177,PYTH,Pyth Network,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
2242,QBT,Qbao,token,,NO-IDENTITY,,no,no,no
1684,QTUM,Qtum,token,,NO-IDENTITY,,no,no,no
703,RBT,Rimbit,token,,NO-IDENTITY,,no,no,no
6951,REEF,Reef,token,Reef,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
4157,RUNE,THORChain,token,Multi-Chain; THORChain,NonEVM-indexed,Midgard,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
29082,SAROS,Saros,token,Solana; Viction,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
1619,SKY,Skycoin,token,,NO-IDENTITY,,no,no,no
25264,SNEK,Snek,token,Cardano,NonEVM-indexed,Koios/Blockfrost,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
24875,STRX,Staked TRX,token,Tron20,NonEVM-indexed,TronScan/TronGrid,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
6990,SUN,SUN,token,,NO-IDENTITY,,no,no,no
10529,SUN,Sun [New],token,Tron; Tron20,NonEVM-indexed,TronScan/TronGrid,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
4279,SXP,Solar,token,Multi-Chain,Obscure,varies,unknown,maybe,unknown
329,SYNC,Sync,token,,NO-IDENTITY,,no,no,no
22974,TAO,Bittensor,token,Bittensor; Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
3822,TFUEL,Theta Fuel,token,,NO-IDENTITY,,no,no,no
3792,USDE,USDe,token,,NO-IDENTITY,,no,no,no
1904,VEN,Vechain [Token],token,,NO-IDENTITY,,no,no,no
22059,VENOM,Venom,token,,NO-IDENTITY,,no,no,no
36119,WAL,Walrus,token,Sui Network,NonEVM-indexed,Sui RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
28183,WFLR,Wrapped Flare,token,Flare Network,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
24399,WHBAR,Wrapped HBAR,token,Hedera Hashgraph,NonEVM-indexed,Mirror Node,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
35881,WHYPE,Wrapped HYPE,token,HyperEVM,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
24735,WPLS,Wrapped Pulse,token,PulseChain,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
27076,WTFUEL,Wrapped TFUEL,token,Theta Network,NonEVM-indexed,Theta explorer,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
27077,WTHETA,Wrapped THETA,token,Theta Network,NonEVM-indexed,Theta explorer,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
18579,WTRX,Wrapped TRON,token,Tron20,NonEVM-indexed,TronScan/TronGrid,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
4566,XDB,XDB CHAIN,token,,NO-IDENTITY,,no,no,no
873,XEM,NEM,token,,NO-IDENTITY,,no,no,no
2662,XHV,Haven Protocol,token,,NO-IDENTITY,,no,no,no
769,XUSD,CoinoUSD,token,,NO-IDENTITY,,no,no,no
30636,ZBCN,Zebec Network,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
24091,ZK,ZKsync,token,zkSync Era,Obscure,varies,unknown,maybe,unknown
