cmc_id,symbol,chainid,address,holder_count,est_transfers,est_getlogs_calls
1667,UNY,1,0x1a986F1659e11E2AE7CC6543F307bAE5cDe1C761,114,4560,9
1722,MORE,1,0x305DE070488C8469dFAC957226c9c900c4BFbA22,117,4680,9
3815,XBASE,1,0x5bdC00B6676579b301B276198Db1ea9AffB94329,119,4760,10
5802,XOR,1,0x1d03ebbd6be00b805702dde42313dcf44ac1a6eb,124,4960,10
12140,RMRK,1,0x524d524B4c9366be706D3A90dcf70076ca037aE3,124,4960,10
1274,WAVES,1,0x7296eaA225804451a91616b29D040cAB05435f0d,128,5120,10
38339,UB,1,0x6944E1DF6Bf5972305f9Ab25dF47ef10De01bcc8,135,5400,11
35954,LION,42161,0x527e8D368298deA5a53be257e5300F4DBafb7a97,139,5560,11
2897,CCC,1,0xbf59e6fe2bc4ee8d303e493390b4aacab16fcc91,146,5840,12
2866,BOUNTY,42161,0x6a9896837021EA3eD83F623F655C119c54abE02c,154,6160,12
939,GAM,1,0xf67451dc8421f0e0afeb52faa8101034ed081ed9,157,6280,13
1494,BPC,1,0xf3d29fb98d2dc5e78c87198deef99377345fd6f1,161,6440,13
5280,BLCT,1,0x6d2c508fc4a588a41713ff59212f85489291d244,171,6840,14
1492,GBYTE,1,0x31F69dE127C8A0fF10819C0955490a4Ae46fcc2a,172,6880,14
7758,EAURIC,1,0xc36c65693ea9e207ad35d4ee2fb6c5f6f43bdec8,188,7520,15
3828,JCT,1,0x7fe92ec600f15cd25253b421bc151c51b0276b7d,190,7600,15
1467,ARC,1,0xac709fcb44a43c35f0da4e3163b117a17f3770f5,192,7680,15
1465,VRS,1,0xAbC430136A4dE71c9998242de8c1b4B97D2b9045,208,8320,17
11823,POKT,1,0x764A726d9ceD0433A8D7643335919dEb03a9a935,209,8360,17
2530,FSN,1,0x9AfC975EdB8a0B57f066e8e0A72A5e2ADbdCb605,212,8480,17
2620,SWTH,1,0xb4371da53140417cbb3362055374b10d97e420bb,212,8480,17
8497,BANANA,1,0x92DF60c51C710a1b1C20E42D85e221f3A1bFc7f2,212,8480,17
3489,ESCE,1,0x49614661737efbfc6a102efaeefdc8e197f7cc0e,222,8880,18
3788,NET,1,0xF29226914595052a04F5AFbe6410D0C3eD707548,223,8920,18
2081,AMB,1,0xf4fb9bf10e489ea3edb03e094939341399587b0c,239,9560,19
35930,WXTZ,1,0xc9b53ab2679f573e480d01e0f49e2b5cfb7a3eab,275,11000,22
3930,TT,1,0x1E053D89E08c24aA2CE5C5B4206744Dc2D7BD8F5,280,11200,22
37057,QQQX,1,0xa753a7395cae905cd615da0b82a53e0560f250af,295,11800,24
36994,AAPLX,1,0x9d275685dc284c8eb1c79f6aba7a63dc75ec890a,305,12200,24
4162,STO,1,0xcb39c3502415152b2ec90ff07ee18cc94f681a72,310,12400,25
