cmc_id,symbol,name,chain,chainid,address,etherscan_reachable,getlogs_free_tier,contract,ch1_lock_stake,ch1_event,ch2_holding,ch3_voting,ch3_event
5103,IPX,Tachyon Protocol,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
5113,SURE,inSure DeFi,Ethereum,1,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,yes,yes,TokenERC20,-,,Transfer-log (free),-,
5117,OGN,Origin Protocol,Ethereum,1,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,yes,yes,OriginToken,-,,Transfer-log (free),-,
5190,FLEX,FLEX,Ethereum,1,0xfcf8eda095e37a41e002e266daad7efc1579bc0a,yes,yes,FLEXCoin,-,,Transfer-log (free),-,
5234,DNA,Metaverse Dualchain Network Architecture,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
5266,MLK,MiL.k,Arbitrum,42161,0x374c5FB7979d5fDBAAd2d95409e235e5CBdfD43C,yes,yes,Token,-,,Transfer-log (free),-,
5274,EDG,Edgeware,BSC,56,0x4e0da40b9063dc48364c1c0ffb4ae9d091fc2270,yes,no(PAID),Edgeware,-,,Transfer-log (PAID chain),ERC20Votes-ABIonly [getLogs needs PAID plan on this chain],"DelegateVotesChanged(address,uint256,uint256)"
5279,SOLO,Sologenic,BSC,56,0xc2c28b58db223da89b567a0a98197fc17c115148,yes,no(PAID),BEP20Token,-,,Transfer-log (PAID chain),-,
5299,HDAO,HyperDAO,Ethereum,1,0x74faab6986560fd1140508e4266d8a7b87274ffd,yes,yes,HDAOToken,-,,Transfer-log (free),-,
5354,PEAK,PEAKDEFI,Ethereum,1,0x630d98424efe0ea27fb1b3ab7741907dffeaad78,yes,yes,TokenProxy->impl:PEAKDEFI_V2,-,,Transfer-log (free),ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)"
5410,PRQ,PARSIQ,Ethereum,1,0x362bc847A3a9637d3af6624EeC853618a43ed7D2,yes,yes,ParsiqToken,-,,Transfer-log (free),-,
5429,DEP,DEAPcoin,Ethereum,1,0x1a3496c18d558bd9c6c8f609e1b129f67ab08163,yes,yes,DEAPCoin,-,,Transfer-log (free),-,
5488,JST,JUST,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
5566,KEEP,Keep Network,Ethereum,1,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,yes,yes,KeepToken,-,,Transfer-log (free),-,
5601,STAKE,STAKE,Ethereum,1,0x0Ae055097C6d159879521C384F1D2123D1f195e6,yes,yes,ERC677MultiBridgeToken,-,,Transfer-log (free),-,
5617,UMA,UMA,Ethereum,1,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,yes,yes,VotingToken,-,,Transfer-log (free),-,
5631,ORN,Orion,Ethereum,1,0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a,yes,yes,OrionToken,-,,Transfer-log (free),-,
5690,RENDER,Render,Ethereum,1,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,yes,yes,AdminUpgradeabilityProxy->impl:RenderToken,-,,Transfer-log (free),-,
5741,DMG,DMM: Governance,Ethereum,1,0xEd91879919B71bB6905f23af0A68d231EcF87b14,yes,yes,DMGToken,-,,Transfer-log (free),ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)"
5798,RING,Darwinia Network,Ethereum,1,0x9469d013805bffb7d3debe5e7839237e535ec483,yes,yes,RING,-,,Transfer-log (free),-,
5824,SLP,Smooth Love Potion,Ethereum,1,0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,yes,yes,SmoothLovePotion,-,,Transfer-log (free),-,
5829,SWAP,TrustSwap,Ethereum,1,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,yes,yes,AdminUpgradeabilityProxy->impl:SwapToken,-,,Transfer-log (free),-,
5830,NXM,NXM,Ethereum,1,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,yes,yes,NXMToken,-,,Transfer-log (free),-,
5841,NEST,NEST Protocol,Ethereum,1,0xcd6926193308d3B371FdD6A6219067E550000000,yes,yes,NestToken,-,,Transfer-log (free),-,
5892,ANY,Anyswap,Ethereum,1,0xf99d58e463a2e07e5692127302c20a191861b4d6,yes,yes,Erc20SwapAsset,-,,Transfer-log (free),-,
5906,NVT,NerveNetwork,Ethereum,1,0x7b6f71c8b123b38aa8099e0098bec7fbc35b8a13,yes,yes,ERC20Minter,-,,Transfer-log (free),-,
5957,YFII,DFI.Money,Ethereum,1,0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83,yes,yes,YFII,-,,Transfer-log (free),-,
